"name","email","website","field"
"Leichtathletikverein Berlin","info@leichtathletikverein-berlin.de","https://www.leichtathletikverein-berlin.de/","Leichtathletikverein Sport"
"Leichtathletikverein Hamburg","info@leichtathletikverein-hamburg.de","https://www.leichtathletikverein-hamburg.de/","Leichtathletikverein Sport"
"Leichtathletikverein München","info@leichtathletikverein-muenchen.de","https://www.leichtathletikverein-muenchen.de/","Leichtathletikverein Sport"
"Leichtathletikverein Frankfurt","info@leichtathletikverein-frankfurt.de","https://www.leichtathletikverein-frankfurt.de/","Leichtathletikverein Sport"
"Leichtathletikverein Köln","info@leichtathletikverein-koeln.de","https://www.leichtathletikverein-koeln.de/","Leichtathletikverein Sport"
"Leichtathletikverein Stuttgart","info@leichtathletikverein-stuttgart.de","https://www.leichtathletikverein-stuttgart.de/","Leichtathletikverein Sport"
"Leichtathletikverein Düsseldorf","info@leichtathletikverein-duesseldorf.de","https://www.leichtathletikverein-duesseldorf.de/","Leichtathletikverein Sport"
"Leichtathletikverein Dortmund","info@leichtathletikverein-dortmund.de","https://www.leichtathletikverein-dortmund.de/","Leichtathletikverein Sport"
"Leichtathletikverein Leipzig","info@leichtathletikverein-leipzig.de","https://www.leichtathletikverein-leipzig.de/","Leichtathletikverein Sport"
"Leichtathletikverein Bremen","info@leichtathletikverein-bremen.de","https://www.leichtathletikverein-bremen.de/","Leichtathletikverein Sport"
"Tennisverein Berlin","info@tennisverein-berlin.de","https://www.tennisverein-berlin.de/","Tennisverein Sport"
"Tennisverein Hamburg","info@tennisverein-hamburg.de","https://www.tennisverein-hamburg.de/","Tennisverein Sport"
"Tennisverein München","info@tennisverein-muenchen.de","https://www.tennisverein-muenchen.de/","Tennisverein Sport"
"Tennisverein Frankfurt","info@tennisverein-frankfurt.de","https://www.tennisverein-frankfurt.de/","Tennisverein Sport"
"Tennisverein Köln","info@tennisverein-koeln.de","https://www.tennisverein-koeln.de/","Tennisverein Sport"
"Tennisverein Stuttgart","info@tennisverein-stuttgart.de","https://www.tennisverein-stuttgart.de/","Tennisverein Sport"
"Tennisverein Düsseldorf","info@tennisverein-duesseldorf.de","https://www.tennisverein-duesseldorf.de/","Tennisverein Sport"
"Tennisverein Dortmund","info@tennisverein-dortmund.de","https://www.tennisverein-dortmund.de/","Tennisverein Sport"
"Tennisverein Leipzig","info@tennisverein-leipzig.de","https://www.tennisverein-leipzig.de/","Tennisverein Sport"
"Tennisverein Bremen","info@tennisverein-bremen.de","https://www.tennisverein-bremen.de/","Tennisverein Sport"
"Fussballverein Berlin","info@fussballverein-berlin.de","https://www.fussballverein-berlin.de/","Fussballverein Sport"
"Fussballverein Hamburg","info@fussballverein-hamburg.de","https://www.fussballverein-hamburg.de/","Fussballverein Sport"
"Fussballverein München","info@fussballverein-muenchen.de","https://www.fussballverein-muenchen.de/","Fussballverein Sport"
"Fussballverein Frankfurt","info@fussballverein-frankfurt.de","https://www.fussballverein-frankfurt.de/","Fussballverein Sport"
"Fussballverein Köln","info@fussballverein-koeln.de","https://www.fussballverein-koeln.de/","Fussballverein Sport"
"Fussballverein Stuttgart","info@fussballverein-stuttgart.de","https://www.fussballverein-stuttgart.de/","Fussballverein Sport"
"Fussballverein Düsseldorf","info@fussballverein-duesseldorf.de","https://www.fussballverein-duesseldorf.de/","Fussballverein Sport"
"Fussballverein Dortmund","info@fussballverein-dortmund.de","https://www.fussballverein-dortmund.de/","Fussballverein Sport"
"Fussballverein Leipzig","info@fussballverein-leipzig.de","https://www.fussballverein-leipzig.de/","Fussballverein Sport"
"Fussballverein Bremen","info@fussballverein-bremen.de","https://www.fussballverein-bremen.de/","Fussballverein Sport"
"Handballverein Berlin","info@handballverein-berlin.de","https://www.handballverein-berlin.de/","Handballverein Sport"
"Handballverein Hamburg","info@handballverein-hamburg.de","https://www.handballverein-hamburg.de/","Handballverein Sport"
"Handballverein München","info@handballverein-muenchen.de","https://www.handballverein-muenchen.de/","Handballverein Sport"
"Handballverein Frankfurt","info@handballverein-frankfurt.de","https://www.handballverein-frankfurt.de/","Handballverein Sport"
"Handballverein Köln","info@handballverein-koeln.de","https://www.handballverein-koeln.de/","Handballverein Sport"
"Handballverein Stuttgart","info@handballverein-stuttgart.de","https://www.handballverein-stuttgart.de/","Handballverein Sport"
"Handballverein Düsseldorf","info@handballverein-duesseldorf.de","https://www.handballverein-duesseldorf.de/","Handballverein Sport"
"Handballverein Dortmund","info@handballverein-dortmund.de","https://www.handballverein-dortmund.de/","Handballverein Sport"
"Handballverein Leipzig","info@handballverein-leipzig.de","https://www.handballverein-leipzig.de/","Handballverein Sport"
"Handballverein Bremen","info@handballverein-bremen.de","https://www.handballverein-bremen.de/","Handballverein Sport"
"Basketballverein Berlin","info@basketballverein-berlin.de","https://www.basketballverein-berlin.de/","Basketballverein Sport"
"Basketballverein Hamburg","info@basketballverein-hamburg.de","https://www.basketballverein-hamburg.de/","Basketballverein Sport"
"Basketballverein München","info@basketballverein-muenchen.de","https://www.basketballverein-muenchen.de/","Basketballverein Sport"
"Basketballverein Frankfurt","info@basketballverein-frankfurt.de","https://www.basketballverein-frankfurt.de/","Basketballverein Sport"
"Basketballverein Köln","info@basketballverein-koeln.de","https://www.basketballverein-koeln.de/","Basketballverein Sport"
"Basketballverein Stuttgart","info@basketballverein-stuttgart.de","https://www.basketballverein-stuttgart.de/","Basketballverein Sport"
"Basketballverein Düsseldorf","info@basketballverein-duesseldorf.de","https://www.basketballverein-duesseldorf.de/","Basketballverein Sport"
"Basketballverein Dortmund","info@basketballverein-dortmund.de","https://www.basketballverein-dortmund.de/","Basketballverein Sport"
"Basketballverein Leipzig","info@basketballverein-leipzig.de","https://www.basketballverein-leipzig.de/","Basketballverein Sport"
"Basketballverein Bremen","info@basketballverein-bremen.de","https://www.basketballverein-bremen.de/","Basketballverein Sport"
"Volleyballverein Berlin","info@volleyballverein-berlin.de","https://www.volleyballverein-berlin.de/","Volleyballverein Sport"
"Volleyballverein Hamburg","info@volleyballverein-hamburg.de","https://www.volleyballverein-hamburg.de/","Volleyballverein Sport"
"Volleyballverein München","info@volleyballverein-muenchen.de","https://www.volleyballverein-muenchen.de/","Volleyballverein Sport"
"Volleyballverein Frankfurt","info@volleyballverein-frankfurt.de","https://www.volleyballverein-frankfurt.de/","Volleyballverein Sport"
"Volleyballverein Köln","info@volleyballverein-koeln.de","https://www.volleyballverein-koeln.de/","Volleyballverein Sport"
"Volleyballverein Stuttgart","info@volleyballverein-stuttgart.de","https://www.volleyballverein-stuttgart.de/","Volleyballverein Sport"
"Volleyballverein Düsseldorf","info@volleyballverein-duesseldorf.de","https://www.volleyballverein-duesseldorf.de/","Volleyballverein Sport"
"Volleyballverein Dortmund","info@volleyballverein-dortmund.de","https://www.volleyballverein-dortmund.de/","Volleyballverein Sport"
"Volleyballverein Leipzig","info@volleyballverein-leipzig.de","https://www.volleyballverein-leipzig.de/","Volleyballverein Sport"
"Volleyballverein Bremen","info@volleyballverein-bremen.de","https://www.volleyballverein-bremen.de/","Volleyballverein Sport"
"Kampfsportverein Berlin","info@kampfsportverein-berlin.de","https://www.kampfsportverein-berlin.de/","Kampfsportverein Sport"
"Kampfsportverein Hamburg","info@kampfsportverein-hamburg.de","https://www.kampfsportverein-hamburg.de/","Kampfsportverein Sport"
"Kampfsportverein München","info@kampfsportverein-muenchen.de","https://www.kampfsportverein-muenchen.de/","Kampfsportverein Sport"
"Kampfsportverein Frankfurt","info@kampfsportverein-frankfurt.de","https://www.kampfsportverein-frankfurt.de/","Kampfsportverein Sport"
"Kampfsportverein Köln","info@kampfsportverein-koeln.de","https://www.kampfsportverein-koeln.de/","Kampfsportverein Sport"
"Kampfsportverein Stuttgart","info@kampfsportverein-stuttgart.de","https://www.kampfsportverein-stuttgart.de/","Kampfsportverein Sport"
"Kampfsportverein Düsseldorf","info@kampfsportverein-duesseldorf.de","https://www.kampfsportverein-duesseldorf.de/","Kampfsportverein Sport"
